"@timestamp","@version","@version.keyword",Base,"Base.keyword","Data\Time","Data\Time.keyword",Date,"Date/TimeFloor","Date/TimeFloor.keyword",Geo,"Geo.keyword",Hour,Lat,Lon,WeekdayName,"WeekdayName.keyword",WeekdayNumber,WeekmonthName,"WeekmonthName.keyword",WeekmonthNumber,"_id","_index","_score","event.original","event.original.keyword",geo,message,"message.keyword"
"Jul 19, 2022 @ 03:55:24.979",1,1,B02512,B02512,"2014-09-03 16:22:00","2014-09-03 16:22:00","Sep 3, 2014 @ 04:30:00.000","2014-09-03 16:00:00","2014-09-03 16:00:00","POINT (40.7234 -74.0081)","POINT (40.7234 -74.0081)",16,"40.723","-74.008",Wednesday,Wednesday,2,September,September,9,"Ts2hE4IB5GW_hXBXdmjZ",testtwo,"-","2014-09-03 16:22:00,40.7234,-74.0081,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7234 -74.0081)","2014-09-03 16:22:00,40.7234,-74.0081,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7234 -74.0081)","POINT (-74.00810248218477 40.7234001159668)","2014-09-03 16:22:00,40.7234,-74.0081,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7234 -74.0081)","2014-09-03 16:22:00,40.7234,-74.0081,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7234 -74.0081)"
"Jul 19, 2022 @ 03:55:19.977",1,1,B02512,B02512,"2014-09-03 16:21:00","2014-09-03 16:21:00","Sep 3, 2014 @ 04:30:00.000","2014-09-03 16:00:00","2014-09-03 16:00:00","POINT (40.7515 -73.97629999999999)","POINT (40.7515 -73.97629999999999)",16,"40.752","-73.976",Wednesday,Wednesday,2,September,September,9,"Tc2hE4IB5GW_hXBXY2hS",testtwo,"-","2014-09-03 16:21:00,40.7515,-73.9763,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7515 -73.97629999999999)","2014-09-03 16:21:00,40.7515,-73.9763,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7515 -73.97629999999999)","POINT (-73.97630313411355 40.75149914715439)","2014-09-03 16:21:00,40.7515,-73.9763,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7515 -73.97629999999999)","2014-09-03 16:21:00,40.7515,-73.9763,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7515 -73.97629999999999)"
"Jul 19, 2022 @ 03:55:14.977",1,1,B02512,B02512,"2014-09-03 16:21:00","2014-09-03 16:21:00","Sep 3, 2014 @ 04:30:00.000","2014-09-03 16:00:00","2014-09-03 16:00:00","POINT (40.7706 -73.86539999999999)","POINT (40.7706 -73.86539999999999)",16,"40.771","-73.865",Wednesday,Wednesday,2,September,September,9,"TM2hE4IB5GW_hXBXT2jI",testtwo,"-","2014-09-03 16:21:00,40.7706,-73.8654,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7706 -73.86539999999999)","2014-09-03 16:21:00,40.7706,-73.8654,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7706 -73.86539999999999)","POINT (-73.86540225706995 40.770599325187504)","2014-09-03 16:21:00,40.7706,-73.8654,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7706 -73.86539999999999)","2014-09-03 16:21:00,40.7706,-73.8654,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7706 -73.86539999999999)"
"Jul 19, 2022 @ 03:55:09.976",1,1,B02512,B02512,"2014-09-03 16:21:00","2014-09-03 16:21:00","Sep 3, 2014 @ 04:30:00.000","2014-09-03 16:00:00","2014-09-03 16:00:00","POINT (40.7366 -73.9928)","POINT (40.7366 -73.9928)",16,"40.737","-73.993",Wednesday,Wednesday,2,September,September,9,"S82hE4IB5GW_hXBXPGg_",testtwo,"-","2014-09-03 16:21:00,40.7366,-73.9928,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7366 -73.9928)","2014-09-03 16:21:00,40.7366,-73.9928,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7366 -73.9928)","POINT (-73.99279788136482 40.736598931252956)","2014-09-03 16:21:00,40.7366,-73.9928,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7366 -73.9928)","2014-09-03 16:21:00,40.7366,-73.9928,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7366 -73.9928)"
"Jul 19, 2022 @ 03:55:04.975",1,1,B02512,B02512,"2014-09-03 16:20:00","2014-09-03 16:20:00","Sep 3, 2014 @ 04:30:00.000","2014-09-03 16:00:00","2014-09-03 16:00:00","POINT (40.7763 -73.96210000000001)","POINT (40.7763 -73.96210000000001)",16,"40.776","-73.962",Wednesday,Wednesday,2,September,September,9,"Ss2hE4IB5GW_hXBXKGi3",testtwo,"-","2014-09-03 16:20:00,40.7763,-73.9621,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7763 -73.96210000000001)","2014-09-03 16:20:00,40.7763,-73.9621,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7763 -73.96210000000001)","POINT (-73.96209723316133 40.77629851642996)","2014-09-03 16:20:00,40.7763,-73.9621,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7763 -73.96210000000001)","2014-09-03 16:20:00,40.7763,-73.9621,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7763 -73.96210000000001)"
"Jul 19, 2022 @ 03:54:59.975",1,1,B02512,B02512,"2014-09-03 16:20:00","2014-09-03 16:20:00","Sep 3, 2014 @ 04:30:00.000","2014-09-03 16:00:00","2014-09-03 16:00:00","POINT (40.7531 -73.97490000000001)","POINT (40.7531 -73.97490000000001)",16,"40.753","-73.975",Wednesday,Wednesday,2,September,September,9,"Sc2hE4IB5GW_hXBXFWgu",testtwo,"-","2014-09-03 16:20:00,40.7531,-73.9749,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7531 -73.97490000000001)","2014-09-03 16:20:00,40.7531,-73.9749,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7531 -73.97490000000001)","POINT (-73.97489933297038 40.75310134794563)","2014-09-03 16:20:00,40.7531,-73.9749,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7531 -73.97490000000001)","2014-09-03 16:20:00,40.7531,-73.9749,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7531 -73.97490000000001)"
"Jul 19, 2022 @ 03:54:54.975",1,1,B02512,B02512,"2014-09-03 16:19:00","2014-09-03 16:19:00","Sep 3, 2014 @ 04:30:00.000","2014-09-03 16:00:00","2014-09-03 16:00:00","POINT (40.7555 -73.97190000000001)","POINT (40.7555 -73.97190000000001)",16,"40.756","-73.972",Wednesday,Wednesday,2,September,September,9,"SM2hE4IB5GW_hXBXAWio",testtwo,"-","2014-09-03 16:19:00,40.7555,-73.9719,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7555 -73.97190000000001)","2014-09-03 16:19:00,40.7555,-73.9719,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7555 -73.97190000000001)","POINT (-73.97190095856786 40.75550079345703)","2014-09-03 16:19:00,40.7555,-73.9719,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7555 -73.97190000000001)","2014-09-03 16:19:00,40.7555,-73.9719,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7555 -73.97190000000001)"
"Jul 19, 2022 @ 03:54:49.974",1,1,B02512,B02512,"2014-09-03 16:19:00","2014-09-03 16:19:00","Sep 3, 2014 @ 04:30:00.000","2014-09-03 16:00:00","2014-09-03 16:00:00","POINT (40.7486 -73.99420000000001)","POINT (40.7486 -73.99420000000001)",16,"40.749","-73.994",Wednesday,Wednesday,2,September,September,9,"R82gE4IB5GW_hXBX7mgc",testtwo,"-","2014-09-03 16:19:00,40.7486,-73.9942,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7486 -73.99420000000001)","2014-09-03 16:19:00,40.7486,-73.9942,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7486 -73.99420000000001)","POINT (-73.99420168250799 40.7485999725759)","2014-09-03 16:19:00,40.7486,-73.9942,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7486 -73.99420000000001)","2014-09-03 16:19:00,40.7486,-73.9942,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7486 -73.99420000000001)"
"Jul 19, 2022 @ 03:54:44.973",1,1,B02512,B02512,"2014-09-03 16:18:00","2014-09-03 16:18:00","Sep 3, 2014 @ 04:30:00.000","2014-09-03 16:00:00","2014-09-03 16:00:00","POINT (40.7591 -73.9789)","POINT (40.7591 -73.9789)",16,"40.759","-73.979",Wednesday,Wednesday,2,September,September,9,"Rs2gE4IB5GW_hXBX2miU",testtwo,"-","2014-09-03 16:18:00,40.7591,-73.9789,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7591 -73.9789)","2014-09-03 16:18:00,40.7591,-73.9789,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7591 -73.9789)","POINT (-73.97889716550708 40.75910182669759)","2014-09-03 16:18:00,40.7591,-73.9789,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7591 -73.9789)","2014-09-03 16:18:00,40.7591,-73.9789,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7591 -73.9789)"
"Jul 19, 2022 @ 03:54:39.973",1,1,B02512,B02512,"2014-09-03 16:17:00","2014-09-03 16:17:00","Sep 3, 2014 @ 04:30:00.000","2014-09-03 16:00:00","2014-09-03 16:00:00","POINT (40.7235 -73.9564)","POINT (40.7235 -73.9564)",16,"40.724","-73.956",Wednesday,Wednesday,2,September,September,9,"Rc2gE4IB5GW_hXBXx2gL",testtwo,"-","2014-09-03 16:17:00,40.7235,-73.9564,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7235 -73.9564)","2014-09-03 16:17:00,40.7235,-73.9564,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7235 -73.9564)","POINT (-73.95639804191887 40.723499273881316)","2014-09-03 16:17:00,40.7235,-73.9564,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7235 -73.9564)","2014-09-03 16:17:00,40.7235,-73.9564,B02512,2014-09-03 16:00:00,2014-09-03,16,2,Wednesday,9,September,POINT (40.7235 -73.9564)"
